Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WaitlistCap
MATH-UA120,DiscreteMathematics,1,9,Dropped,40,10
MATH-UA120,DiscreteMathematics,2,10,Dropped,45,10
MATH-UA120,DiscreteMathematics,3,18,Dropped,37,10
MATH-UA120,DiscreteMathematics,4,17,Dropped,45,20
MATH-UA120,DiscreteMathematics,5,15,Dropped,45,20
MATH-UA120,DiscreteMathematics,6,7,Dropped,40,10
MATH-UA120,DiscreteMathematics,7,12,Dropped,47,20
MATH-UA120,DiscreteMathematics,8,13,Dropped,40,10
MATH-UA121,CalculusI,1,22,Dropped,120,10
MATH-UA121,CalculusI,6,13,Dropped,100,10
MATH-UA121,CalculusI,11,33,Dropped,120,10
MATH-UA121,CalculusI,16,20,Dropped,120,10
MATH-UA121,CalculusI,21,16,Dropped,131,10
MATH-UA121,CalculusI,26,9,Dropped,120,10
MATH-UA121,CalculusI,31,15,Dropped,120,10
MATH-UA121,CalculusI,36,20,Dropped,120,10
MATH-UA121,CalculusI,41,16,Dropped,108,15
MATH-UA121,CalculusI,46,11,Dropped,120,10
MATH-UA122,CalculusII,1,16,Dropped,40,10
MATH-UA122,CalculusII,2,23,Dropped,40,10
MATH-UA122,CalculusII,3,14,Dropped,40,10
MATH-UA122,CalculusII,4,24,Dropped,37,10
MATH-UA122,CalculusII,5,18,Dropped,40,10
MATH-UA122,CalculusII,6,0,Dropped,37,10
MATH-UA122,CalculusII,7,12,Dropped,30,10
MATH-UA122,CalculusII,8,13,Dropped,40,10
MATH-UA122,CalculusII,9,33,Dropped,40,10
MATH-UA123,CalculusIII,1,10,Dropped,44,10
MATH-UA123,CalculusIII,2,13,Dropped,40,10
MATH-UA123,CalculusIII,3,8,Dropped,56,10
MATH-UA123,CalculusIII,4,11,Dropped,37,10
MATH-UA123,CalculusIII,5,16,Dropped,40,10
MATH-UA123,CalculusIII,6,12,Dropped,37,10
MATH-UA123,CalculusIII,7,10,Dropped,37,10
MATH-UA123,CalculusIII,8,1,Dropped,40,10
MATH-UA129,HonorsCalculusIII,1,3,Dropped,36,10
MATH-UA140,LinearAlgebra,1,8,Dropped,32,12
MATH-UA140,LinearAlgebra,2,14,Dropped,36,20
MATH-UA140,LinearAlgebra,3,11,Dropped,43,10
MATH-UA140,LinearAlgebra,4,22,Dropped,45,10
MATH-UA140,LinearAlgebra,5,16,Dropped,38,10
MATH-UA140,LinearAlgebra,6,15,Dropped,37,10
MATH-UA140,LinearAlgebra,7,17,Dropped,15,11
MATH-UA140,LinearAlgebra,8,16,Dropped,37,11
MATH-UA140,LinearAlgebra,9,19,Dropped,45,11
MATH-UA140,LinearAlgebra,10,21,Dropped,52,10
MATH-UA140,LinearAlgebra,11,22,Dropped,39,10
MATH-UA148,HonorsLinearAlgebra,1,12,Dropped,38,10
MATH-UA211,MathematicsforEconomicsI,1,21,Dropped,165,20
MATH-UA211,MathematicsforEconomicsI,6,25,Dropped,164,20
MATH-UA211,MathematicsforEconomicsI,11,30,Dropped,160,20
MATH-UA211,MathematicsforEconomicsI,16,21,Dropped,141,20
MATH-UA212,MathematicsforEconomicsII,1,10,Dropped,150,15
MATH-UA212,MathematicsforEconomicsII,6,10,Dropped,122,10
MATH-UA213,MathematicsforEconomicsIII,1,16,Dropped,125,25
MATH-UA232,SetTheory,1,19,Dropped,20,10
MATH-UA233,TheoryofProbability,1,15,Dropped,55,27
MATH-UA233,TheoryofProbability,3,11,Dropped,53,20
MATH-UA233,TheoryofProbability,5,6,Dropped,25,5
MATH-UA234,MathematicalStatistics,1,14,Dropped,58,21
MATH-UA248,TheoryofNumbers,1,12,Dropped,36,20
MATH-UA250,MathematicsofFinance,1,21,Dropped,51,20
MATH-UA250,MathematicsofFinance,3,21,Dropped,39,11
MATH-UA251,IntrotoMathModeling,1,14,Dropped,36,17
MATH-UA251,IntrotoMathModeling,3,9,Dropped,35,10
MATH-UA251,IntrotoMathModeling,5,15,Dropped,25,5
MATH-UA252,NumericalAnalysis,1,18,Dropped,38,16
MATH-UA252,NumericalAnalysis,3,17,Dropped,37,20
MATH-UA255,MathematicsandBiology,1,1,Dropped,20,10
MATH-UA262,OrdinaryDiffEquations,1,17,Dropped,69,20
MATH-UA262,OrdinaryDiffEquations,3,17,Dropped,37,12
MATH-UA262,OrdinaryDiffEquations,5,13,Dropped,23,10
MATH-UA263,PartialDiffEquations,1,8,Dropped,40,10
MATH-UA325,Analysis,1,3,Dropped,55,22
MATH-UA325,Analysis,3,18,Dropped,40,20
MATH-UA325,Analysis,5,8,Dropped,40,11
MATH-UA328,HonorsAnalysisI,1,8,Dropped,40,20
MATH-UA343,Algebra,1,11,Dropped,40,20
MATH-UA343,Algebra,3,5,Dropped,39,20
MATH-UA343,Algebra,5,6,Dropped,39,20
MATH-UA348,HonorsAlgebraI,1,9,Dropped,37,15
MATH-UA395,SpecialTopics,1,5,Dropped,40,10
MATH-UA397,HonorsIII,1,11,Dropped,30,10
MATH-UA9,AlgebraandCalculus,1,28,Dropped,155,23
MATH-UA9,AlgebraandCalculus,6,23,Dropped,120,20
MATH-UA9,AlgebraandCalculus,11,21,Dropped,132,20
